id,category,name,address,city,state,zip,longitude,latitude,website,phone
LOC000001,Hospital,Stamford Hospital,30 Shelburne Rd,Stamford,CT,6901,41.054764,-73.553821,stamfordhospital.org,(203) 276 1000
LOC000002,City Department,Stamford Fire & Rescue Dept,629 Main Street ,Stamford,CT,6901,41.054467,-73.534195,http://www.ci.stamford.ct.us/,(203) 977-4763
LOC000003,U.S.Military,US Army National Guard Recruiting,51 Bank St,Stamford,CT,6901,41.05288,-73.540114,n/a,(203) 323-2015�
LOC000004,Rail,Metro North Railroad Station - Old Greenwich,1Sound Beach Avenue,Greenwich,CT,6870,41.024017,-73.565338,mta.info,(877) 690-5114
LOC000005,Bank,First County Bank,117 Prospect Street,Stamford,CT,6901,41.05938,-73.534915,firstcountybank.com,(203) 462-4400
LOC000006,Bank,Chase,45 Prospect St,Stamford,CT,6901,41.057419,-73.537494,chase.com,(203) 969-3235
LOC000007,Bank,People's United Bank,350 Bedford St,Stamford,CT,6902,41.056294,-73.538513,peoples.com,(203) 359-6013
LOC000008,Bank,Wells Fargo Bank,300 Main St,Stamford,CT,6901,41.05321,-73.540617,�wellsfargo.com,(203) 348-4047
LOC000009,Bank,Bank of America,1 Atlantic St,Stamford,CT,6901,41.055163,-73.539114,locators.bankofamerica.com,(203) 351-1207
LOC000010,University,University of Connecticut-Stamford,1 University Pl,Stamford,CT,6901,41.055723,-73.543189,stamford.uconn.edu,(203) 251-8400�
LOC000011,City Department,Stamford Health System,12 Merrell Ave,Stamford,CT,6902,41.055456,-73.554965,�stamfordhospital.org,(203) 406-7097
LOC000012,City Department,Stamford Police Department,805 Bedford St,Stamford,CT,6901,41.060925,-73.53761,stamfordpd.org,(203) 977-4444
LOC000013,Public School,Cloonan Middle School,11 W North St,Stamford,CT,6902,41.058963,-73.547051,cloonanms.org,(203) 977-4544�
LOC000014,Public School,Hart Magnet Elementary School,61 Adams Ave,Stamford,CT,6902,41.057858,-73.547865,hartschool.org,(203) 977-5082
LOC000015,Public School,Sacred Heart Parochial School,1 Schuyler Avenue,Stamford,CT,6902,41.052786,-73.547739,sacredheartstamford.com,(203) 323-4844�
LOC000016,Public School,The Ballet School of Stamford,175 Atlantic St,Stamford,CT,6901,41.052965,-73.539391,balletschoolofstamford.org,(203) 358-8853
LOC000017,Public School,Trailblazers Academy,83 Lockwood Ave,Stamford,CT,6902,41.053421,-73.521426,trailblazersacademy.org,(203) 977-5690
LOC000018,Public School,Rogers International School,202 Blachley Rd,Stamford,CT,6902,41.056541,-73.515579,rogersinternationalschool.org,(203) 977-4560
